대업종,중업종,항목,전체,5인 미만,5~9인,10~29인,30~49인,50~99인,100~299인,300~499인,500~999인,1000인 이상,통계기준년
제조업,금속제련업,사업장수 (개소),289,93,36,56,22,25,41,6,4,6,2021
제조업,금속제련업,근로자수 (명),43138,156,262,918,844,1914,8060,2221,2547,26216,2021
제조업,금속제련업,요양재해자수 (명),275,2,2,17,17,26,57,10,17,127,2021
제조업,금속제련업,요양재해율 (%),0.64,1.28,0.76,1.85,2.01,1.36,0.71,0.45,0.67,0.48,2021
제조업,전기기계기구·정밀기구·전자제품제조업,사업장수 (개소),54267,34488,8426,7308,1720,1279,785,139,62,60,2021
제조업,전기기계기구·정밀기구·전자제품제조업,근로자수 (명),909307,56086,55280,120520,65529,89005,126181,53257,43192,300257,2021
제조업,전기기계기구·정밀기구·전자제품제조업,요양재해자수 (명),1914,289,206,394,187,249,242,110,63,174,2021
제조업,전기기계기구·정밀기구·전자제품제조업,요양재해율 (%),0.21,0.52,0.37,0.33,0.29,0.28,0.19,0.21,0.15,0.06,2021
제조업,선박건조 및 수리업,사업장수 (개소),7298,4011,1305,1161,244,376,187,6,3,5,2021
제조업,선박건조 및 수리업,근로자수 (명),137123,6261,8778,17499,9032,27419,26762,2192,2500,36680,2021
제조업,선박건조 및 수리업,요양재해자수 (명),3125,320,178,246,113,307,460,14,83,1404,2021
제조업,선박건조 및 수리업,요양재해율 (%),2.28,5.11,2.03,1.41,1.25,1.12,1.72,0.64,3.32,3.83,2021
제조업,수제품 및 기타제품 제조업,사업장수 (개소),24188,17345,3511,2643,449,183,55,2,0,0,2021
제조업,수제품 및 기타제품 제조업,근로자수 (명),130699,26841,22963,42740,16800,12338,8377,640,0,0,2021
제조업,수제품 및 기타제품 제조업,요양재해자수 (명),1262,371,234,396,129,82,46,4,0,0,2021
제조업,수제품 및 기타제품 제조업,요양재해율 (%),0.97,1.38,1.02,0.93,0.77,0.66,0.55,0.63,0,0,2021
전기·가스·증기 및 수도사업,소계,사업장수 (개소),3341,2181,256,313,201,237,118,21,5,9,2021
전기·가스·증기 및 수도사업,소계,근로자수 (명),79791,2594,1707,5693,7736,16471,20201,7976,3799,13614,2021
전기·가스·증기 및 수도사업,소계,요양재해자수 (명),130,8,5,32,20,21,23,6,4,11,2021
전기·가스·증기 및 수도사업,소계,요양재해율 (%),0.16,0.31,0.29,0.56,0.26,0.13,0.11,0.08,0.11,0.08,2021
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,사업장수 (개소),3341,2181,256,313,201,237,118,21,5,9,2021
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,근로자수 (명),79791,2594,1707,5693,7736,16471,20201,7976,3799,13614,2021
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,요양재해자수 (명),130,8,5,32,20,21,23,6,4,11,2021
전기·가스·증기 및 수도사업,전기·가스·증기 및 수도사업,요양재해율 (%),0.16,0.31,0.29,0.56,0.26,0.13,0.11,0.08,0.11,0.08,2021
건설업,소계,사업장수 (개소),400990,330244,32217,26984,4587,3276,2788,596,241,57,2021
건설업,소계,근로자수 (명),2378751,388353,213136,432409,171833,226153,475534,221657,155047,94629,2021
건설업,소계,요양재해자수 (명),29943,12259,3836,5886,1876,1758,2421,1030,565,312,2021
건설업,소계,요양재해율 (%),1.26,3.16,1.8,1.36,1.09,0.78,0.51,0.46,0.36,0.33,2021
건설업,건설업,사업장수 (개소),400990,330244,32217,26984,4587,3276,2788,596,241,57,2021
건설업,건설업,근로자수 (명),2378751,388353,213136,432409,171833,226153,475534,221657,155047,94629,2021
건설업,건설업,요양재해자수 (명),29943,12259,3836,5886,1876,1758,2421,1030,565,312,2021
건설업,건설업,요양재해율 (%),1.26,3.16,1.8,1.36,1.09,0.78,0.51,0.46,0.36,0.33,2021
운수·창고 및 통신업,소계,사업장수 (개소),93249,69599,9174,8765,2305,1938,1201,141,71,55,2021
운수·창고 및 통신업,소계,근로자수 (명),993678,91293,59635,144934,87053,134790,193608,53868,45573,182924,2021
운수·창고 및 통신업,소계,요양재해자수 (명),10091,3587,854,1653,629,928,947,226,159,1108,2021
운수·창고 및 통신업,소계,요양재해율 (%),1.02,3.93,1.43,1.14,0.72,0.69,0.49,0.42,0.35,0.61,2021
운수·창고 및 통신업,철도·항공·창고·운수관련서비스업,사업장수 (개소),44300,32371,4990,4632,1025,727,413,62,36,44,2021
운수·창고 및 통신업,철도·항공·창고·운수관련서비스업,근로자수 (명),514758,45886,32400,75562,38620,49729,66246,23647,23583,159085,2021
운수·창고 및 통신업,철도·항공·창고·운수관련서비스업,요양재해자수 (명),2854,696,210,468,214,282,295,102,112,475,2021
운수·창고 및 통신업,철도·항공·창고·운수관련서비스업,요양재해율 (%),0.55,1.52,0.65,0.62,0.55,0.57,0.45,0.43,0.47,0.3,2021
운수·창고 및 통신업,육상 및 수상운수업,사업장수 (개소),43191,33780,3364,3359,1013,915,664,63,25,8,2021
운수·창고 및 통신업,육상 및 수상운수업,근로자수 (명),380489,39116,22157,55691,38377,64428,107082,23762,15865,14011,2021
운수·창고 및 통신업,육상 및 수상운수업,요양재해자수 (명),6942,2834,620,1102,350,602,636,121,45,632,2021
운수·창고 및 통신업,육상 및 수상운수업,요양재해율 (%),1.82,7.25,2.8,1.98,0.91,0.93,0.59,0.51,0.28,4.51,2021
운수·창고 및 통신업,통신업,사업장수 (개소),5758,3448,820,774,267,296,124,16,10,3,2021
운수·창고 및 통신업,통신업,근로자수 (명),98431,6291,5078,13681,10056,20633,20280,6459,6125,9828,2021
운수·창고 및 통신업,통신업,요양재해자수 (명),295,57,24,83,65,44,16,3,2,1,2021
운수·창고 및 통신업,통신업,요양재해율 (%),0.3,0.91,0.47,0.61,0.65,0.21,0.08,0.05,0.03,0.01,2021
임업,소계,사업장수 (개소),14596,6783,4835,2474,361,60,64,16,3,0,2021
임업,소계,근로자수 (명),110395,14025,30402,34025,12349,3269,8757,5618,1950,0,2021
임업,소계,요양재해자수 (명),946,571,235,119,15,2,4,0,0,0,2021
임업,소계,요양재해율 (%),0.86,4.07,0.77,0.35,0.12,0.06,0.05,0,0,0,2021
임업,임업,사업장수 (개소),14596,6783,4835,2474,361,60,64,16,3,0,2021
임업,임업,근로자수 (명),110395,14025,30402,34025,12349,3269,8757,5618,1950,0,2021
임업,임업,요양재해자수 (명),946,571,235,119,15,2,4,0,0,0,2021
임업,임업,요양재해율 (%),0.86,4.07,0.77,0.35,0.12,0.06,0.05,0,0,0,2021
어업,소계,사업장수 (개소),1918,1603,258,54,3,0,0,0,0,0,2021
어업,소계,근로자수 (명),4955,2474,1582,785,114,0,0,0,0,0,2021
어업,소계,요양재해자수 (명),74,41,23,10,0,0,0,0,0,0,2021
어업,소계,요양재해율 (%),1.49,1.66,1.45,1.27,0,0,0,0,0,0,2021
어업,어업,사업장수 (개소),1918,1603,258,54,3,0,0,0,0,0,2021
어업,어업,근로자수 (명),4955,2474,1582,785,114,0,0,0,0,0,2021
어업,어업,요양재해자수 (명),74,41,23,10,0,0,0,0,0,0,2021
어업,어업,요양재해율 (%),1.49,1.66,1.45,1.27,0,0,0,0,0,0,2021
농업,소계,사업장수 (개소),20302,15912,2679,1432,206,53,19,1,0,0,2021
농업,소계,근로자수 (명),78999,25902,17567,21574,7679,3261,2616,400,0,0,2021
농업,소계,요양재해자수 (명),668,326,129,159,30,19,5,0,0,0,2021
농업,소계,요양재해율 (%),0.85,1.26,0.73,0.74,0.39,0.58,0.19,0,0,0,2021
농업,농업,사업장수 (개소),20302,15912,2679,1432,206,53,19,1,0,0,2021
농업,농업,근로자수 (명),78999,25902,17567,21574,7679,3261,2616,400,0,0,2021
농업,농업,요양재해자수 (명),668,326,129,159,30,19,5,0,0,0,2021
농업,농업,요양재해율 (%),0.85,1.26,0.73,0.74,0.39,0.58,0.19,0,0,0,2021
금융 및 보험업,소계,사업장수 (개소),43679,14897,8867,14648,3089,1407,576,93,58,44,2021
금융 및 보험업,소계,근로자수 (명),781685,25916,61657,239479,114125,92030,88180,35945,39717,84636,2021
금융 및 보험업,소계,요양재해자수 (명),408,59,45,111,96,46,29,6,4,12,2021
금융 및 보험업,소계,요양재해율 (%),0.05,0.23,0.07,0.05,0.08,0.05,0.03,0.02,0.01,0.01,2021
금융 및 보험업,금융 및 보험업,사업장수 (개소),43679,14897,8867,14648,3089,1407,576,93,58,44,2021
금융 및 보험업,금융 및 보험업,근로자수 (명),781685,25916,61657,239479,114125,92030,88180,35945,39717,84636,2021
금융 및 보험업,금융 및 보험업,요양재해자수 (명),408,59,45,111,96,46,29,6,4,12,2021
금융 및 보험업,금융 및 보험업,요양재해율 (%),0.05,0.23,0.07,0.05,0.08,0.05,0.03,0.02,0.01,0.01,2021
기타의 사업,소계,사업장수 (개소),1897247,1440130,250305,155086,26374,15663,7709,1034,643,303,2021
기타의 사업,소계,근로자수 (명),10980274,2237030,1614585,2436877,982159,1057215,1226141,388554,442888,594825,2021
기타의 사업,소계,요양재해자수 (명),45408,13799,6878,10243,3829,3926,4334,832,711,856,2021
기타의 사업,소계,요양재해율 (%),0.41,0.62,0.43,0.42,0.39,0.37,0.35,0.21,0.16,0.14,2021
기타의 사업,시설관리및사업지원서비스업,사업장수 (개소),257544,163377,47412,34920,6041,3797,1683,182,105,27,2021
기타의 사업,시설관리및사업지원서비스업,근로자수 (명),2061786,284946,308465,543930,226180,254114,256139,67944,73514,46554,2021
기타의 사업,시설관리및사업지원서비스업,요양재해자수 (명),9213,2547,1722,2546,920,797,503,103,57,18,2021
기타의 사업,시설관리및사업지원서비스업,요양재해율 (%),0.45,0.89,0.56,0.47,0.41,0.31,0.2,0.15,0.08,0.04,2021
기타의 사업,해외파견자,사업장수 (개소),4995,3602,540,555,115,103,62,10,7,1,2021
기타의 사업,해외파견자,근로자수 (명),47982,4476,3578,9092,4294,7134,9222,4073,4805,1308,2021
